step,episode,ep_reward,ep_length,ep_kills,ep_max_x,died
8667,316,-5.30,27,1,54.4,1
8687,317,-6.56,20,0,60.1,1
8708,318,-2.39,21,0,86.0,1
8730,319,0.75,22,0,114.3,1
8743,320,-4.82,13,0,40.4,1
8763,321,-1.26,20,0,84.6,1
8784,322,-0.33,21,0,98.4,1
8818,323,-6.10,34,1,57.6,1
8830,324,-5.06,12,0,30.6,1
8851,325,-4.65,21,0,40.4,1
8872,326,5.18,21,0,179.5,1
8921,327,12.83,49,1,295.9,1
8933,328,-3.47,12,0,51.9,1
8954,329,-0.38,21,0,106.4,1
8988,330,4.78,34,1,172.7,1
9068,331,-1.98,80,1,140.7,1
9089,332,-5.00,21,0,30.9,1
9110,333,-4.74,21,0,34.2,1
9131,334,2.70,21,1,141.7,1
9150,335,3.52,19,1,153.9,1
9162,336,-4.72,12,0,34.0,1
9182,337,-0.50,20,0,101.1,1
9210,338,-1.15,28,1,85.2,1
9231,339,-3.63,21,0,49.7,1
9252,340,-6.67,21,1,27.7,1
9286,341,5.03,34,1,176.4,1
9306,342,-2.79,20,0,62.0,1
9327,343,2.23,21,1,134.9,1
9356,344,12.33,29,2,282.4,1
9408,345,19.83,52,1,393.9,1
9429,346,-3.22,21,0,87.9,1
9450,347,-6.15,21,0,13.5,1
9476,348,-3.34,26,1,77.1,1
9497,349,5.89,21,0,190.3,1
9523,350,-2.55,26,1,69.9,1
9544,351,-2.25,21,0,70.0,1
9565,352,-0.30,21,0,98.7,1
9607,353,-1.17,42,1,86.0,1
9628,354,8.84,21,0,233.0,1
9640,355,-2.82,12,0,62.5,1
9661,356,-4.81,21,0,33.2,1
9674,357,-8.11,13,0,15.6,1
9695,358,-2.26,21,0,82.3,1
9706,359,-2.36,11,0,68.9,1
9748,360,7.13,42,1,208.1,1
9760,361,-6.08,12,0,13.6,1
9781,362,3.63,21,1,155.8,1
9802,363,0.57,21,0,111.3,1
9823,364,3.06,21,1,147.1,1
9853,365,-2.96,30,0,59.5,1
9866,366,-2.18,13,0,71.5,1
9886,367,-4.02,20,1,42.9,1
9907,368,-5.67,21,1,19.6,1
9928,369,-8.15,21,0,49.4,1
9949,370,2.32,21,1,136.2,1
9999,371,11.04,50,1,264.4,1
10020,372,-2.41,21,0,67.6,1
10040,373,-2.24,20,0,70.6,1
10068,374,-5.63,28,0,26.1,1
10089,375,-0.82,21,0,91.0,1
10108,376,-4.05,19,0,44.0,1
10127,377,0.93,19,0,117.0,1
10148,378,-4.15,21,1,42.0,1
10168,379,-0.45,20,0,100.5,1
10189,380,-0.46,21,0,96.3,1
10210,381,-0.38,21,1,96.5,1
10232,382,-4.06,22,1,77.4,1
10252,383,-0.87,20,0,92.6,1
10264,384,-6.45,12,0,9.1,1
10285,385,1.24,21,0,121.5,1
10307,386,-5.81,22,1,65.8,1
10319,387,0.33,12,0,107.9,1
10338,388,-2.17,19,0,100.9,1
10349,389,-4.01,11,0,44.1,1
10370,390,-1.60,21,1,100.2,1
10382,391,-2.92,12,0,60.1,1
10395,392,-3.06,13,0,58.1,1
10437,393,4.26,42,1,165.9,1
10457,394,1.99,20,0,132.8,1
10468,395,-5.64,11,0,20.0,1
10489,396,-5.71,21,0,37.3,1
10523,397,5.28,34,1,179.9,1
10544,398,2.26,21,1,135.7,1
10570,399,-7.59,26,0,0.0,1
10591,400,3.87,21,1,159.0,1
10610,401,-1.61,19,0,79.4,1
10623,402,-5.25,13,0,25.9,1
10652,403,-4.59,29,0,35.5,1
10672,404,-1.24,20,0,85.4,1
10685,405,-3.57,13,0,52.6,1
10706,406,-2.79,21,0,72.3,1
10727,407,1.54,21,0,126.0,1
10748,408,-0.58,21,0,94.5,1
10769,409,1.35,21,1,122.2,1
10790,410,3.17,21,0,149.9,1
10811,411,2.08,21,0,133.6,1
10832,412,-6.36,21,0,20.8,1
10843,413,-4.51,11,0,37.0,1
10873,414,-0.30,30,0,111.1,1
10895,415,-2.45,22,1,66.0,1
10944,416,-3.89,49,1,70.7,1
10965,417,4.61,21,0,171.2,1
10986,418,-5.04,21,0,28.9,1
11007,419,-0.54,21,0,95.1,1
11028,420,0.32,21,0,107.8,1
11041,421,-7.05,13,0,4.7,1
11062,422,1.37,21,0,124.0,1
11075,423,-3.52,13,0,51.6,1
11109,424,-1.28,34,1,83.5,1
11154,425,11.83,45,1,276.3,1
11174,426,-0.63,20,1,92.8,1
11194,427,-2.59,20,0,66.1,1
11215,428,1.40,21,0,126.9,1
11227,429,-2.31,12,0,70.0,1
11276,430,14.35,49,1,313.3,1
11297,431,-1.24,21,0,84.8,1
11342,432,14.91,45,1,321.6,1
11355,433,-1.26,13,0,84.5,1
11397,434,11.68,42,1,274.4,1
11415,435,-1.01,18,0,88.4,1
11436,436,-2.71,21,0,63.8,1
11462,437,1.10,26,1,118.3,1
11475,438,-1.79,13,0,77.2,1
11494,439,-1.01,19,0,89.0,1
11515,440,1.64,21,1,127.0,1
11549,441,7.53,34,1,213.0,1
11561,442,-5.27,12,0,25.8,1
11573,443,-5.14,12,0,27.7,1
11593,444,-0.74,20,0,93.4,1
11613,445,-5.98,20,0,15.1,1
11641,446,3.59,28,1,155.2,1
11662,447,1.98,21,0,132.1,1
11683,448,-2.01,21,0,73.5,1
11705,449,-1.31,22,0,84.3,1
11726,450,9.32,21,0,240.4,1
11747,451,4.81,21,0,175.9,1
11766,452,-7.39,19,1,13.6,1
11787,453,4.17,21,0,164.6,1
11808,454,2.46,21,1,138.6,1
11826,455,8.94,18,0,234.6,1
11879,456,13.59,53,1,302.2,1
11907,457,0.26,28,0,107.4,1
11928,458,5.43,21,0,182.9,1
11949,459,3.04,21,1,148.0,1
11983,460,8.99,34,1,234.3,1
12004,461,3.72,21,1,157.1,1
12025,462,3.84,21,1,158.5,1
12045,463,-2.85,20,0,61.1,1
12064,464,-1.41,19,0,82.3,1
12085,465,3.02,21,1,146.4,1
12106,466,0.32,21,0,107.8,1
12126,467,2.27,20,0,136.9,1
12138,468,-4.29,12,0,40.0,1
12158,469,-7.93,20,0,7.1,1
12179,470,-0.98,21,0,88.6,1
12200,471,4.41,21,0,167.9,1
12221,472,1.37,21,1,122.6,1
12240,473,-4.10,19,1,80.3,1
12261,474,3.42,21,1,152.6,1
12282,475,5.03,21,0,177.3,1
12331,476,-4.78,49,1,37.2,1
12350,477,-6.40,19,0,9.2,1
12399,478,-6.32,49,1,26.5,1
12444,479,-3.36,45,1,52.7,1
12465,480,0.66,21,0,112.7,1
12501,481,8.06,36,1,220.6,1
12522,482,-5.33,21,0,29.1,1
12543,483,-1.82,21,0,76.2,1
12585,484,-1.25,42,1,131.4,1
12605,485,-1.75,20,1,77.6,1
12626,486,-1.74,21,0,77.5,1
12647,487,-1.65,21,0,79.1,1
12668,488,-1.24,21,1,83.9,1
12689,489,-6.90,21,1,5.8,1
12710,490,-6.26,21,0,20.5,1
12731,491,-2.76,21,0,62.4,1
12752,492,-2.90,21,0,60.5,1
12794,493,5.77,42,1,188.2,1
12815,494,-1.33,21,0,86.0,1
12836,495,-3.41,21,0,52.9,1
12858,496,-0.53,22,0,116.4,1
12879,497,2.47,21,1,138.7,1
12900,498,-4.39,21,0,39.3,1
12922,499,4.35,22,1,166.9,1
12943,500,-2.76,21,0,62.5,1
12964,501,-6.51,21,0,10.5,1
12985,502,-3.12,21,0,57.2,1
13006,503,-6.13,21,0,24.2,1
13027,504,-0.11,21,0,113.5,1
13068,505,10.56,41,1,257.6,1
13088,506,-3.27,20,0,55.2,1
13108,507,-1.55,20,0,80.8,1
13129,508,5.15,21,0,179.1,1
13142,509,-4.20,13,0,41.9,1
13163,510,-3.93,21,0,55.2,1
13184,511,-2.56,21,0,65.4,1
13205,512,-1.30,21,1,84.1,1
13238,513,-5.29,33,1,24.9,1
13264,514,-4.44,26,1,70.5,1
13313,515,-5.83,49,1,78.2,1
13334,516,0.76,21,0,114.2,1
13364,517,-2.50,30,0,66.6,1
13385,518,4.74,21,0,174.3,1
13406,519,-1.82,21,0,76.2,1
13435,520,8.39,29,1,225.4,1
13499,521,14.42,64,1,314.4,1
13519,522,-2.62,20,0,65.5,1
13539,523,-1.29,20,0,84.9,1
13565,524,0.18,26,1,121.4,1
13586,525,1.69,21,1,127.8,1
13607,526,1.51,21,0,125.8,1
13628,527,7.68,21,1,215.0,1
13641,528,-6.63,13,0,8.8,1
13662,529,6.74,21,0,203.1,1
13682,530,-1.07,20,0,92.2,1
13703,531,5.81,21,0,188.8,1
13724,532,0.98,21,0,127.0,1
13745,533,5.32,21,0,181.5,1
13766,534,3.23,21,1,149.9,1
13800,535,5.17,34,1,178.7,1
13821,536,-3.79,21,0,105.4,1
13850,537,3.90,29,1,159.8,1
13862,538,-4.67,12,0,34.3,1
13883,539,0.29,21,0,107.4,1
13904,540,2.58,21,1,140.3,1
13925,541,2.04,21,1,139.2,1
13946,542,-2.50,21,0,66.9,1
13967,543,2.88,21,1,144.4,1
14001,544,11.56,34,2,284.2,1
14022,545,-0.52,21,0,99.2,1
14051,546,-0.13,29,0,105.0,1
14079,547,8.42,28,1,227.0,1
14092,548,-3.94,13,0,45.6,1
14113,549,3.51,21,1,154.0,1
14134,550,4.66,21,0,171.9,1
14155,551,10.27,21,2,252.1,1
14168,552,-4.70,13,0,35.7,1
14181,553,-8.09,13,0,13.4,1
14194,554,-6.24,13,0,12.0,1
14215,555,3.50,21,1,153.6,1
14235,556,6.66,20,0,201.0,1
14255,557,0.51,20,0,111.2,1
14266,558,-4.75,11,0,33.5,1
